temperatura,epsilon,M,m,ch,chi
1.37,-0.947264,-148.88,0.059552,5639.854688745338,32684.77997914494
1.38,-0.927552,-149.64,0.05985599999999999,5812.5466695815085,32045.157054126004
1.39,-0.927392,-116.0,0.0464,5004.816373006426,51353.04654235795
1.4,-0.9202239999999999,-91.16,0.036463999999999996,4775.013744273221,40064.61690962099
1.41,-0.888576,-125.04,0.050016000000000005,4335.924464851581,28856.533796497322
1.42,-0.8812479999999999,-79.04,0.031616000000000005,7609.857130711836,37215.089393503884
1.43,-0.87584,-10.52,0.004208,5490.453602341714,28177.743399457686
1.44,-0.8624639999999999,-6.36,0.0025440000000000003,3895.804988662132,15450.30498866213
1.45,-0.8573120000000001,-18.76,0.007504,4312.43738018394,33261.07135819845
1.46,-0.846016,-28.68,0.011472,4076.749093332211,22913.794800111824
1.47,-0.8377600000000001,-42.48,0.016992,3583.994197429076,21589.288907399696
1.48,-0.8272639999999999,20.8,0.008320000000000001,4433.732353423474,23802.757859900717
1.49,-0.8176640000000001,-30.2,0.01208,4183.510027586549,21181.34502122997
1.5,-0.819616,-31.56,0.012624,4020.4800000000005,17019.351292517003
1.51,-0.79904,-23.4,0.00936,3014.2609212449506,18754.885795377755
1.52,-0.7971520000000001,-32.0,0.0128,3644.7198824127986,28164.554242749735
1.53,-0.788704,-47.56,0.019024,2620.282274129696,15381.863678804857
1.54,-0.78592,0.4,0.00016,3585.2829915909692,18025.231910946197
1.55,-0.7772479999999999,10.64,0.004256,3516.959629637495,14898.16352863726
1.56,-0.7702720000000001,-27.32,0.010928,3208.1713158636226,19073.42857142857
1.57,-0.768768,-21.48,0.008592,3350.8142483736974,15973.462628363446
1.58,-0.757504,2.28,0.0009119999999999999,3407.135826610727,13107.931800568325
1.59,-0.74944,30.52,0.012208,2688.6045743798877,10704.434347323833
1.6,-0.741152,-29.24,0.011696,4426.094387755102,11362.131632653061
1.61,-0.74368,-29.84,0.011936,4084.2465607824083,15195.319051844339
1.62,-0.737312,-32.36,0.012943999999999999,3181.120349374317,14773.36255983875
1.63,-0.72416,-0.08,3.2e-5,2583.0932320235106,11209.61161888068
1.64,-0.7185600000000001,6.92,0.002768,1968.0340904952109,11070.702837232453
1.65,-0.705184,0.28,0.00011200000000000001,2700.9532804857486,11248.090043290045
1.66,-0.70448,3.48,0.001392,3468.46940256724,10196.09638554217
1.67,-0.701376,5.52,0.002208,3080.142928123955,11796.706342417208
1.68,-0.7006399999999999,-9.64,0.003856,2748.218334953029,10207.6472303207
1.69,-0.693088,2.44,0.000976,2370.851646565282,10422.440768023185
1.7,-0.685952,-26.6,0.01064,2824.668314384577,7864.129651860745
1.71,-0.688736,-32.52,0.013008,2058.772104306994,8385.708079723116
1.72,-0.676928,39.8,0.01592,2573.0047129722634,8700.261034646417
1.73,-0.66576,8.92,0.003568,2869.8668481392356,10312.252919664978
1.74,-0.663712,1.6,0.00064,2153.2922959116263,9181.140042223786
1.75,-0.659008,9.84,0.003936,2676.1414743856726,8376.334927113703
1.76,-0.65152,2.0,0.0008,1848.7518974531963,8213.9146567718
1.77,-0.642944,-5.4,0.00216,2841.075850046999,8468.511472385564
1.78,-0.64528,-5.92,0.002368,2682.2525500542342,6601.693189635406
